,Accuracy,Topology,Activation,Alpha,Lambda,Epochs,Batch Size
24,0.9877666666666668,[784  60  10],relu,0.03,0.1,60,90
18,0.9803166666666666,[784  60  10],tanh,0.24,0.1,60,60
184,0.9775444444444444,[784  30  10],relu,0.06,0.1,10,80
60,0.9772111111111113,[784 100  10],tanh,0.6900000000000001,0.1,50,70
7,0.9735222222222222,[784  30  10],relu,0.39,0.1,10,70
44,0.9732055555555555,[784  30  10],tanh,0.59,0.1,40,90
111,0.9716944444444444,[784  30  10],tanh,0.45,0.1,10,80
3,0.9706944444444444,[784 100  10],relu,0.6,0.2,20,80
5,0.9655888888888888,[784 100  10],relu,0.32,0.4,20,90
188,0.9649666666666666,[784  30  10],tanh,0.16,0.1,40,40
34,0.9588666666666666,[784  30  10],tanh,0.19,0.2,40,60
36,0.9552333333333334,[784  30  10],relu,0.25,0.4,40,70
50,0.9547777777777776,[784 100  10],relu,0.54,0.5,50,90
27,0.95,[784  30  10],tanh,0.0999999999999999,0.4,10,90
194,0.9481,[784  30  10],relu,0.02,0.6,20,90
4,0.9452,[784  60  10],relu,0.04,0.3,60,30
80,0.9431166666666668,[784  60  10],relu,0.51,0.6,10,90
26,0.9419055555555556,[784 100  10],tanh,0.9,0.3,30,70
75,0.9371666666666668,[784  60  10],relu,0.02,0.8,10,80
83,0.9366388888888888,[784 100  10],relu,0.24,0.8,10,70
51,0.9360722222222222,[784  30  10],relu,0.39,0.2,20,50
43,0.9306555555555556,[784  60  10],tanh,0.17,0.7000000000000001,40,80
19,0.9301388888888888,[784 100  10],relu,0.05,0.7000000000000001,50,50
78,0.9281,[784 100  10],tanh,0.26,0.7000000000000001,40,80
10,0.9267833333333332,[784 100  10],relu,0.43,0.8,20,70
64,0.9246888888888888,[784 100  10],tanh,0.8300000000000001,0.4,20,70
76,0.9214055555555556,[784  60  10],relu,0.32,0.5,20,50
65,0.9191722222222222,[784  60  10],tanh,0.66,0.3,20,50
63,0.9161277777777778,[784  60  10],relu,0.33,0.7000000000000001,60,60
159,0.9160055555555556,[784 100  10],relu,0.09,0.8,30,50
79,0.9158833333333334,[784 100  10],relu,0.01,0.5,30,30
69,0.9133722222222224,[784  60  10],tanh,0.3,0.8,20,80
106,0.9111666666666668,[784  30  10],relu,0.14,1.1,40,80
0,0.9090388888888888,[784  30  10],tanh,0.08,0.5,40,50
124,0.90825,[784 100  10],tanh,0.92,0.1,30,40
55,0.9058055555555556,[784  60  10],tanh,0.55,0.5,20,60
70,0.9040222222222222,[784  30  10],tanh,0.04,0.4,10,40
49,0.9023277777777776,[784  30  10],relu,0.37,0.2,20,30
39,0.9016444444444444,[784  30  10],tanh,0.05,0.7000000000000001,10,70
34,0.9000611111111111,[784  10  10],relu,0.18,0.3,240,90
32,0.8993111111111111,[784  30  10],tanh,0.03,0.7000000000000001,10,80
56,0.8976833333333334,[784  30  10],tanh,0.31,0.6,20,60
3,0.8958555555555555,[784  30  10],relu,0.47,1.3000000000000005,10,90
46,0.8912722222222222,[784  60  10],tanh,0.5800000000000001,0.8,50,80
37,0.8910388888888889,[784  30  10],tanh,0.02,0.6,50,50
74,0.8904277777777778,[784 100  10],tanh,0.25,0.5,40,40
173,0.8887111111111111,[784 100  10],tanh,0.19,1.3000000000000005,30,90
38,0.8875888888888889,[784  60  10],tanh,0.43,0.7000000000000001,60,60
42,0.8873055555555556,[784  30  10],relu,0.28,0.4,10,30
164,0.8865444444444445,[784  30  10],tanh,0.49,0.8,30,80
36,0.8862,[784  30  10],tanh,0.98,0.7000000000000001,50,90
27,0.8794777777777778,[784 100  10],relu,0.74,1.1,20,90
44,0.8784888888888889,[784  10  10],relu,0.27,0.3,410,90
113,0.8780555555555556,[784  11  10],relu,0.41,0.2,60,70
6,0.8774388888888889,[784  10  10],relu,0.42,0.3,50,90
96,0.8768,[784  30  10],tanh,0.31,1.1,30,80
7,0.8766388888888889,[784 100  10],relu,0.77,0.1,30,40
35,0.8743611111111111,[784 100  10],tanh,0.3,0.7000000000000001,40,50
66,0.8742444444444445,[784  30  10],relu,0.14,0.1,60,10
78,0.8740944444444444,[784  60  10],relu,0.03,0.5,30,20
58,0.8739722222222223,[784  30  10],tanh,0.02,0.4,10,30
