,0,1,2,3,4,5
0,[784  60  10],relu,0.9,0.4,60,10
1,[784  60  10],relu,0.8300000000000001,0.4,60,20
2,[784  60  10],relu,0.75,0.5,60,20
3,[784 100  10],relu,0.6,0.2,20,80
4,[784  60  10],relu,0.04,0.30000000000000004,60,30
5,[784 100  10],relu,0.32,0.4,20,90
6,[784 100  10],tanh,0.7100000000000001,0.5,20,20
7,[784  30  10],relu,0.39,0.1,10,70
8,[784 100  10],tanh,0.54,0.8,60,60
9,[784  60  10],relu,0.28,0.7000000000000001,10,20
10,[784 100  10],relu,0.43,0.8,20,70
11,[784  60  10],tanh,0.9400000000000001,0.30000000000000004,40,30
12,[784  60  10],tanh,0.9500000000000001,0.5,20,40
13,[784  30  10],relu,0.6900000000000001,0.4,50,40
14,[784  30  10],relu,0.93,0.30000000000000004,20,80
15,[784  60  10],relu,0.92,0.9,40,40
16,[784  60  10],relu,0.6900000000000001,0.9,50,70
17,[784  60  10],relu,0.62,0.5,10,30
18,[784  60  10],tanh,0.24000000000000002,0.1,60,60
19,[784 100  10],relu,0.05,0.7000000000000001,50,50
20,[784  60  10],relu,0.62,0.9,40,60
21,[784 100  10],relu,0.52,0.6,40,10
22,[784  60  10],relu,0.7000000000000001,0.9,50,30
23,[784  30  10],tanh,0.38,0.30000000000000004,30,20
24,[784  60  10],relu,0.03,0.1,60,90
25,[784  30  10],tanh,0.99,0.9,10,40
26,[784 100  10],tanh,0.9,0.30000000000000004,30,70
27,[784  30  10],tanh,0.09999999999999999,0.4,10,90
28,[784  30  10],relu,0.89,0.30000000000000004,50,90
29,[784 100  10],tanh,0.74,0.5,10,40
30,[784 100  10],relu,0.92,0.7000000000000001,50,20
31,[784 100  10],relu,0.33,0.1,50,10
32,[784  60  10],relu,0.52,0.5,20,30
33,[784  30  10],relu,0.17,0.4,50,20
34,[784  30  10],tanh,0.19,0.2,40,60
35,[784 100  10],tanh,0.3,0.7000000000000001,40,50
36,[784  30  10],tanh,0.98,0.7000000000000001,50,90
37,[784  30  10],tanh,0.02,0.6,50,50
38,[784  60  10],tanh,0.43,0.7000000000000001,60,60
39,[784  60  10],tanh,0.42000000000000004,0.4,50,10
40,[784  30  10],relu,0.8200000000000001,0.7000000000000001,40,90
41,[784  60  10],tanh,0.78,0.8,40,50
42,[784  30  10],relu,0.28,0.4,10,30
43,[784  60  10],tanh,0.17,0.7000000000000001,40,80
44,[784  30  10],tanh,0.59,0.1,40,90
45,[784 100  10],relu,0.67,0.9,40,40
46,[784  60  10],tanh,0.5800000000000001,0.8,50,80
47,[784  30  10],tanh,0.16,0.4,10,20
48,[784  30  10],tanh,0.45,0.30000000000000004,40,30
49,[784  30  10],relu,0.37,0.2,20,30
50,[784 100  10],relu,0.54,0.5,50,90
51,[784  60  10],tanh,0.76,0.7000000000000001,60,60
52,[784  30  10],relu,0.8400000000000001,0.30000000000000004,60,10
53,[784  30  10],tanh,0.92,0.4,10,40
54,[784  60  10],tanh,0.9600000000000001,0.4,40,10
55,[784  60  10],tanh,0.55,0.5,20,60
56,[784 100  10],relu,0.81,0.6,60,60
57,[784  30  10],relu,0.9500000000000001,0.1,50,10
58,[784  30  10],tanh,0.02,0.4,10,30
59,[784 100  10],tanh,0.31,0.4,20,10
60,[784 100  10],tanh,0.6900000000000001,0.1,50,70
61,[784 100  10],tanh,0.86,0.7000000000000001,20,50
62,[784  30  10],relu,0.9400000000000001,0.30000000000000004,10,50
63,[784  60  10],relu,0.33,0.7000000000000001,60,60
64,[784 100  10],tanh,0.8300000000000001,0.4,20,70
65,[784  60  10],tanh,0.66,0.30000000000000004,20,50
66,[784  30  10],relu,0.14,0.1,60,10
67,[784  30  10],relu,0.97,0.30000000000000004,20,90
68,[784  30  10],relu,0.77,0.1,50,10
69,[784  60  10],tanh,0.3,0.8,20,80
70,[784  30  10],tanh,0.04,0.4,10,40
71,[784 100  10],tanh,0.01,0.4,40,10
72,[784  30  10],tanh,0.48000000000000004,0.5,30,20
73,[784  30  10],relu,0.8400000000000001,0.9,40,50
74,[784 100  10],tanh,0.25,0.5,40,40
75,[784  60  10],relu,0.02,0.8,10,80
76,[784  60  10],relu,0.32,0.5,20,50
77,[784 100  10],tanh,0.92,0.6,30,80
78,[784  60  10],relu,0.03,0.5,30,20
79,[784 100  10],relu,0.01,0.5,30,30
80,[784  60  10],relu,0.51,0.6,10,90
81,[784  60  10],tanh,0.32,0.7000000000000001,50,10
82,[784 100  10],relu,0.77,0.9,50,70
83,[784 100  10],relu,0.24000000000000002,0.8,10,70
